name,link
Alcohol,http://i60.tinypic.com/2i8hlkl.jpg
Amphetamine,http://i58.tinypic.com/2zyhlzk.jpg
Cocaine,http://i61.tinypic.com/rssvhj.jpg
Hashish,http://i60.tinypic.com/alggp3.jpg
Heroin,http://i59.tinypic.com/28bv7fn.jpg
Inhalants,http://i57.tinypic.com/257iuch.jpg
Kava,http://i58.tinypic.com/2j4r9k8.jpg
LSD,http://i59.tinypic.com/28s1t8z.jpg
MDMA,http://i57.tinypic.com/257iuch.jpg
Marijuana,http://i62.tinypic.com/dzbbcy.jpg
Meth,http://i61.tinypic.com/10qgr48.jpg
Nicotine,http://i60.tinypic.com/20l0c45.jpg
Opium,http://i60.tinypic.com/15n1vkl.jpg
Oxycodone,http://i58.tinypic.com/2lwa9h4.jpg
Petrol,http://i57.tinypic.com/1hxa4o.jpg
Rohypnol,http://i58.tinypic.com/1zm0avn.jpg
Brain,
CNS,
Eyes,
HIV,
Heart,
Kidney,
Liver,
Lungs,
Muscular system,
Nausea,
Psychosis,
Reproductive system,
Respiratory system,
Seizures,
Sensory perception,
